ID,country,language,socialNbFollowers,socialClassesLiked,classesListed,classesOffered,classesPassRate,classesWished,classesEnrolled,gender
336,Bulgarie,en,11,20,1,8,62,1,1,M
337,Italie,it,11,385,3,8,100,39,3,F
338,Italie,it,10,85,1,8,25,104,1,F
339,Belgique,en,10,65,4,8,37,12,2,F
340,Royaume-Uni,en,9,0,6,8,0,0,0,F
341,France,fr,9,15,11,8,85.7,3,0,F
342,Italie,it,9,3,3,8,100,0,0,F
343,Etats-Unis,en,9,1,5,8,100,1,0,F
344,France,fr,8,0,7,8,100,0,0,F
345,France,en,8,2,0,8,100,2,0,F
346,Italie,it,7,4,6,8,100,0,0,F
347,Etats-Unis,en,7,0,10,8,100,1,0,F
348,Royaume-Uni,en,7,6,6,8,100,0,0,F
349,Royaume-Uni,en,6,0,0,8,88,0,0,F
350,Royaume-Uni,en,6,25,2,8,100,14,2,F
351,Royaume-Uni,en,6,11,1,8,87,0,2,F
352,France,fr,6,4,1,8,87,20,32,M
353,Etats-Unis,en,6,0,9,8,100,0,1,F
354,France,fr,5,0,4,8,87,0,0,M
355,Royaume-Uni,fr,4,3,2,8,87,120,7,M
356,Italie,it,62,1533,12,7,100,11,0,F
357,Italie,en,59,1,2,7,71,0,0,F
358,Royaume-Uni,en,40,83,0,7,0,0,0,F
359,France,fr,30,0,6,7,83.3,0,0,F
360,Italie,it,23,60,8,7,71,3,0,F
361,Etats-Unis,en,23,5,4,7,100,4,0,F
362,Italie,it,22,0,0,7,85.7,0,0,F
363,Italie,it,18,75,9,7,100,49,3,F
364,France,fr,18,11,0,7,100,3,5,F
365,Etats-Unis,en,17,70,4,7,42,1,0,F
366,Royaume-Uni,en,15,2,3,7,71,1,0,F
367,Italie,it,14,5,2,7,85,0,0,F
368,Royaume-Uni,de,14,0,1,7,100,0,0,F
369,Italie,it,13,0,1,7,85,0,0,M
370,France,fr,13,52,0,7,85,1,4,F
371,Italie,it,12,14,13,7,85,0,0,F
372,Belgique,en,12,19,0,7,100,2,16,F
373,Royaume-Uni,en,12,0,0,7,100,0,0,F
374,France,fr,11,48,4,7,100,1,2,F
375,France,fr,11,0,0,7,28,0,0,F
376,France,fr,10,2,1,7,100,24,4,F
377,France,fr,10,14,1,7,85,6,0,M
378,Royaume-Uni,en,10,30,2,7,57,0,2,F
379,Italie,it,10,4,5,7,71,2,0,F
380,Italie,it,8,11,2,7,100,0,0,M
381,France,fr,8,0,4,7,85,0,0,F
382,France,fr,8,176,8,7,100,28,1,F
383,France,fr,8,24,1,7,100,0,0,F
384,France,fr,7,0,0,7,100,0,0,M
385,France,fr,7,0,0,7,71,0,0,F
386,Espagne,es,7,0,2,7,85,0,0,M
387,Italie,it,7,0,0,7,85,0,0,M
388,Royaume-Uni,en,7,5,1,7,100,13,1,F
389,France,fr,7,1,7,7,71,0,0,F
390,Allemagne,de,7,16,4,7,100,0,0,F
391,France,fr,7,0,0,7,100,0,0,F
392,France,fr,6,4,5,7,85,0,0,F
393,France,fr,6,0,0,7,85,0,0,F
394,France,fr,6,0,0,7,85,0,0,F
395,France,fr,6,1,4,7,100,0,0,F
396,Espagne,es,6,13,0,7,57,2,1,F
397,Italie,it,5,13,7,7,87,0,0,F
398,Italie,it,5,3,10,7,100,0,0,F
399,France,fr,5,4,7,7,100,2,1,M
400,Royaume-Uni,en,4,0,5,7,100,0,0,F
401,Allemagne,en,41,16,8,6,100,3,0,F
402,Allemagne,de,40,51,1,6,0,7,33,F
403,Slov??nie,en,34,39,0,6,50,49,23,F
404,Espagne,en,33,459,11,6,83,56,65,F
405,France,fr,31,57,2,6,50,0,0,F
406,Espagne,es,29,12,0,6,100,8,4,F
407,Etats-Unis,en,22,20,5,6,100,0,0,F
408,Hong Kong,en,21,5979,1,6,100,634,40,F
409,France,fr,20,4,0,6,66,235,25,F
410,Allemagne,de,19,125,7,6,100,0,4,F
411,France,fr,19,21,3,6,83.3,1,7,F
412,Italie,en,19,0,5,6,50,0,0,M
413,France,fr,18,1,2,6,83,0,0,M
414,Belgique,en,15,0,2,6,50,0,0,M
415,Pays-Bas,en,14,3,2,6,50,2,0,F
416,Royaume-Uni,en,13,6,1,6,100,0,0,F
417,Italie,it,13,0,1,6,100,0,0,F
418,France,en,12,3,0,6,66,3,0,F
419,Royaume-Uni,en,12,0,6,6,33,0,0,F
420,France,fr,12,1,4,6,33,12,1,F
421,Italie,it,12,2,1,6,80,0,0,M
422,Pays-Bas,en,12,196,3,6,66,378,27,M
423,Espagne,en,12,90,4,6,33,0,0,F
424,France,fr,11,18,11,6,85,18,0,F
425,France,fr,10,0,7,6,100,0,0,F
426,Danemark,en,10,20,5,6,33,1,8,F
427,France,fr,9,10,10,6,50,0,0,F
428,France,fr,9,2,1,6,66,1,0,F
429,France,fr,9,0,7,6,33,1,0,F
430,Italie,it,9,0,0,6,100,0,0,F
431,Etats-Unis,en,9,0,20,6,83,0,0,F
432,Espagne,es,9,103,4,6,83,201,0,F
433,Pologne,en,8,70,2,6,100,49,8,F
434,France,fr,8,1,9,6,100,0,0,F
435,France,fr,8,7,0,6,83,0,0,M
436,Royaume-Uni,en,8,2,5,6,50,0,0,F
437,Italie,it,7,2,0,6,66,3,0,M
438,Italie,it,7,0,7,6,100,0,0,M
439,Royaume-Uni,en,7,3,3,6,50,0,2,F
440,Italie,it,7,8,1,6,83,29,0,F
441,Italie,it,7,23,2,6,83,1,0,F
442,Royaume-Uni,en,6,51,6,6,85,29,14,F
443,Italie,it,6,0,6,6,100,0,0,F
444,Allemagne,de,6,0,25,6,66,2,0,F
445,France,fr,6,6,13,6,57,1,9,M
446,France,fr,6,0,2,6,100,0,0,F
447,France,fr,5,0,0,6,83,0,0,F
448,France,fr,5,0,0,6,100,0,0,F
449,Italie,en,5,3,1,6,83,0,0,F
450,Italie,it,5,3,1,6,50,0,0,M
451,France,fr,5,90,3,6,0,0,1,F
